"File","LineNumber","Line"
"bot_stable.py","426","with open(""state/db.json"", encoding=""utf-8"") as f:"
"bot_stable.py","590","db_path = os.path.join(cwd, ""db.json"")"
"bot_stable.py","715","DB: state/db.json"""""""
"checkpoint_manager.py","26","json.dump(checkpoint,f,indent=2,ensure_ascii=False)"
"core_engine.py","4","USERS = ""state/db.json"""
"core_engine.py","20","json.dump(data, open(path, ""w""), indent=2)"
"course_handlers.py","3","DB_PATH = ""state/db.json"""
"course_handlers.py","11","json.dump(db, f, indent=2, ensure_ascii=False)"
"create_takeover_manifest.py","40","db_path = ROOT / ""state"" / ""db.json"""
"device_bridge.py","26","json.dump({""devices"": devices}, f, indent=2, ensure_ascii=False)"
"diag_fix_handlers.py","34","db_path = os.path.join(cwd, ""db.json"")"
"diag_handler.py","47","db_path = os.path.join(cwd, ""db.json"")"
"dna_lock.py","17","json.dump(data, open(path, ""w""), indent=2)"
"doctor_handler.py","31","db_path = ""slh_state.db"""
"internal_agent.py","81","with open(""db.json"", ""w"") as f:"
"internal_agent.py","82","json.dump(db, f, indent=2, ensure_ascii=False)"
"internal_agent.py","124","with open(""db.json"",""w"") as f: json.dump(db, f, indent=2, ensure_ascii=False)"
"join_fix.py","26","json.dump(db, open(""db.json"",""w""), indent=2, ensure_ascii=False)"
"marketplace.py","22","json.dump(data, f, indent=2)"
"myprogress_handler.py","8","with open(""state/db.json"", encoding=""utf-8"") as f:"
"onboarding_handler.py","5","DB_PATH = ""state/db.json"""
"onboarding_handler.py","15","json.dump(db, f, indent=2, ensure_ascii=False)"
"plugins_store.py","18","json.dump(data, f, indent=2)"
"project_commands.py","61","db = json.load(open(""state/db.json"", encoding=""utf-8""))"
"project_commands.py","63","json.dump(db, open(""db.json"", ""w""), indent=2)"
"project_commands.py","67","db = json.load(open(""state/db.json"", encoding=""utf-8""))"
"project_commands.py","87","db = json.load(open(""state/db.json"", encoding=""utf-8""))"
"project_commands.py","102","db = json.load(open(""state/db.json"", encoding=""utf-8""))"
"project_commands.py","114","db = json.load(open(""state/db.json"", encoding=""utf-8""))"
"project_commands.py","128","db = json.load(open(""state/db.json"", encoding=""utf-8""))"
"refresh_token_handler.py","35","json.dump(_load_config(), f, indent=2, ensure_ascii=False)"
"refresh_token_handler.py","40","json.dump(cfg, f, indent=2, ensure_ascii=False)"
"report_handler.py","16","json.dump(entries, f, indent=2)"
"report_handler.py","24","with open(""state/db.json"", encoding=""utf-8"") as f:"
"report_handler.py","57","with open(""state/db.json"", encoding=""utf-8"") as f:"
"report_handler.py","83","with open(""state/db.json"", encoding=""utf-8"") as f:"
"safe_progress.py","16","json.dump(data, open(STATE_FILE, ""w""), indent=2)"
"self_check.py","10","""state/db.json"","
"self_model_audit.py","9","""state/db.json"","
"self_test.py","30","with open(""db.json"",""w"") as f: json.dump(db, f)"
"slh.py","4","DB_PATH = ""state/db.json"""
"slh.py","8","with open(DB_PATH,'w') as f: json.dump(db,f,indent=2)"
"slh_audit.py","58","DB=""state/db.json"""
"slh_audit.py","208","""state/db.json"","
"slh_autopilot.py","105","check_json(""state/db.json"")"
"slh_consolidate.py","12","db_file=""state/db.json"""
"slh_consolidate.py","49","json.dump("
"slh_consolidate.py","106","json.dump("
"slh_full_check.py","20","json.dump(REPORT,f,indent=2,ensure_ascii=False)"
"slh_full_check.py","53","""state/db.json"","
"slh_full_check.py","84","with open(""state/db.json"",encoding=""utf8"") as f:"
"slh_hardening.py","23","""state/db.json"","
"slh_hardening.py","47","json.dump({},f,indent=2)"
"slh_hardening.py","61","agents_file=""state/db.json"""
"slh_hardening.py","107","json.dump(db,f,indent=2,ensure_ascii=False)"
"slh_hardening.py","192","json.dump(report,f,indent=2)"
"slh_snapshot.py","12","""state/db.json"","
"slh_state_audit.py","19","inspect(""state/db.json"",""LOCAL"")"
"SLH_STATE_BACKUP_20260812_marketfix_bot_stable.py","69","DB_FILE = cfg.get(""DB_FILE"", ""state/db.json"")"
"SLH_STATE_BACKUP_20260812_marketfix_bot_stable.py","142","json.dump(db, f, indent=2)"
"SLH_STATE_BACKUP_20260812_marketfix_bot_stable.py","261","users=json.load(open(""state/db.json"", encoding=""utf-8"")).get(""users"", {})"
"SLH_STATE_BACKUP_20260812_marketfix_bot_stable.py","365","json.dump(goals, open(path, ""w""))"
"SLH_STATE_BACKUP_20260812_marketfix_bot_stable.py","426","with open(""state/db.json"", encoding=""utf-8"") as f:"
"SLH_STATE_BACKUP_20260812_marketfix_bot_stable.py","691","db_path = os.path.join(cwd, ""db.json"")"
"SLH_STATE_BACKUP_20260812_marketfix_bot_stable.py","843","DB: state/db.json"""""""
"slh_sync_fix.py","13","DB=""state/db.json"""
"slh_sync_fix.py","63","json.dump("
"slh_sync_fix.py","116","json.dump("
"smart_leaderboard.py","3","DB_PATH = ""state/db.json"""
"state_engine.py","16","json.dump(s, open(STATE_FILE, ""w""), indent=2)"
"state_manager.py","8","DB_FILE = cfg.get(""DB_FILE"", ""state/db.json"")"
"state_manager.py","21","json.dump(db, f, indent=2, ensure_ascii=False)"
"state_manager.py","23","AGENTS_FILE = ""state/db.json"""
"subscriptions.py","9","DB_FILE = ""subscriptions.json"""
"subscriptions.py","20","json.dump(data, f, indent=2)"
"system_diagnostics.py","49","with open(""state/db.json"", encoding=""utf-8"") as f:"
"system_health.py","19","with open(""state/db.json"", encoding=""utf-8"") as f:"
"takeover_controller.py","7","DB_PATH = ROOT / ""state"" / ""db.json"""
"webapp.py","6","DB_PATH = BASE_DIR / ""state"" / ""db.json"""
